Delta Call,Bid Call,Ask Call,Exp,Strike,Bid Put,Ask Put,Delta Put,Expiration_Date
0.7888,107.55,111.85,29-Jan-21,637.5,17.2,17.8,-0.2072,29 JAN 21  (25)  100 (Weeklys)
0.7823,105.8,110.25,29-Jan-21,640,17.8,18.4,-0.213,29 JAN 21  (25)  100 (Weeklys)
0.7771,103.85,108.3,29-Jan-21,642.5,18.4,19.05,-0.2188,29 JAN 21  (25)  100 (Weeklys)
0.7725,101.9,106,29-Jan-21,645,19.05,19.7,-0.2248,29 JAN 21  (25)  100 (Weeklys)
0.7659,100.15,104.45,29-Jan-21,647.5,19.7,20.35,-0.2308,29 JAN 21  (25)  100 (Weeklys)
0.7604,98.3,102.45,29-Jan-21,650,20.4,21.1,-0.2371,29 JAN 21  (25)  100 (Weeklys)
0.7565,96.45,99.55,29-Jan-21,652.5,21.05,21.8,-0.2432,29 JAN 21  (25)  100 (Weeklys)
0.7491,94.55,98.55,29-Jan-21,655,21.75,22.45,-0.2494,29 JAN 21  (25)  100 (Weeklys)
0.7437,92.75,96.35,29-Jan-21,657.5,22.5,23.2,-0.2558,29 JAN 21  (25)  100 (Weeklys)
0.7376,91.1,94.35,29-Jan-21,660,23.3,24,-0.2624,29 JAN 21  (25)  100 (Weeklys)
0.7314,89.1,92.7,29-Jan-21,662.5,24,24.8,-0.2689,29 JAN 21  (25)  100 (Weeklys)
0.7224,87.6,92.3,29-Jan-21,665,24.85,25.6,-0.2756,29 JAN 21  (25)  100 (Weeklys)
0.7181,85.75,89.25,29-Jan-21,667.5,25.6,26.4,-0.2822,29 JAN 21  (25)  100 (Weeklys)
0.7093,84.2,88.95,29-Jan-21,670,26.5,27.2,-0.289,29 JAN 21  (25)  100 (Weeklys)
0.7025,82.55,87.3,29-Jan-21,672.5,27.25,28.1,-0.2958,29 JAN 21  (25)  100 (Weeklys)
0.6961,80.9,85.45,29-Jan-21,675,28.15,28.9,-0.3027,29 JAN 21  (25)  100 (Weeklys)
0.6889,79.3,84.1,29-Jan-21,677.5,29.05,29.85,-0.3097,29 JAN 21  (25)  100 (Weeklys)
0.6818,77.8,82.5,29-Jan-21,680,29.95,30.75,-0.3167,29 JAN 21  (25)  100 (Weeklys)
0.6751,76.25,80.7,29-Jan-21,682.5,30.95,31.7,-0.3239,29 JAN 21  (25)  100 (Weeklys)
0.6679,74.55,79.45,29-Jan-21,685,31.9,32.65,-0.331,29 JAN 21  (25)  100 (Weeklys)
0.6609,73.3,77.55,29-Jan-21,687.5,32.8,33.6,-0.3381,29 JAN 21  (25)  100 (Weeklys)
0.6535,71.8,76.25,29-Jan-21,690,33.8,34.65,-0.3454,29 JAN 21  (25)  100 (Weeklys)
0.6473,70.35,73.4,29-Jan-21,692.5,34.8,35.65,-0.3526,29 JAN 21  (25)  100 (Weeklys)
0.6401,68.6,72,29-Jan-21,695,35.85,36.7,-0.36,29 JAN 21  (25)  100 (Weeklys)
0.6327,67.4,70.4,29-Jan-21,697.5,37,37.75,-0.3674,29 JAN 21  (25)  100 (Weeklys)
0.6246,67.25,69,29-Jan-21,700,38.05,38.8,-0.3747,29 JAN 21  (25)  100 (Weeklys)
0.6175,64.45,68.4,29-Jan-21,702.5,39.15,39.9,-0.3821,29 JAN 21  (25)  100 (Weeklys)
0.6102,63.3,66.5,29-Jan-21,705,40.3,41,-0.3896,29 JAN 21  (25)  100 (Weeklys)
0.6029,61.7,64.75,29-Jan-21,707.5,41.4,42.15,-0.397,29 JAN 21  (25)  100 (Weeklys)
0.5949,62.3,63.2,29-Jan-21,710,42.5,43.35,-0.4045,29 JAN 21  (25)  100 (Weeklys)
0.5875,61,62,29-Jan-21,712.5,43.75,44.55,-0.412,29 JAN 21  (25)  100 (Weeklys)
0.58,59.7,60.7,29-Jan-21,715,44.95,45.75,-0.4195,29 JAN 21  (25)  100 (Weeklys)
0.5651,57.1,58.05,29-Jan-21,720,47.4,48.2,-0.4345,29 JAN 21  (25)  100 (Weeklys)
0.5501,54.7,55.6,29-Jan-21,725,49.85,50.75,-0.4495,29 JAN 21  (25)  100 (Weeklys)
0.5351,52.35,53,29-Jan-21,730,52.45,53.4,-0.4646,29 JAN 21  (25)  100 (Weeklys)
0.5202,50.05,50.9,29-Jan-21,735,55.1,56.1,-0.4796,29 JAN 21  (25)  100 (Weeklys)
0.5052,47.8,48.4,29-Jan-21,740,57.9,58.9,-0.4945,29 JAN 21  (25)  100 (Weeklys)
0.4906,45.65,46.5,29-Jan-21,745,60.7,61.75,-0.5093,29 JAN 21  (25)  100 (Weeklys)
0.4762,43.9,44.45,29-Jan-21,750,63.65,64.65,-0.5241,29 JAN 21  (25)  100 (Weeklys)
0.4613,41.55,42.45,29-Jan-21,755,66.65,67.65,-0.5387,29 JAN 21  (25)  100 (Weeklys)
0.447,39.7,40.5,29-Jan-21,760,69.75,70.75,-0.5531,29 JAN 21  (25)  100 (Weeklys)
0.4328,37.8,38.75,29-Jan-21,765,72.85,73.9,-0.5674,29 JAN 21  (25)  100 (Weeklys)
0.4188,36.05,36.95,29-Jan-21,770,76.1,77.1,-0.5815,29 JAN 21  (25)  100 (Weeklys)
0.4049,34.35,35.2,29-Jan-21,775,79.35,80.35,-0.5955,29 JAN 21  (25)  100 (Weeklys)
0.3913,32.7,33.55,29-Jan-21,780,80.9,85.65,-0.609,29 JAN 21  (25)  100 (Weeklys)
0.3776,31.05,31.9,29-Jan-21,785,84.35,89.25,-0.622,29 JAN 21  (25)  100 (Weeklys)
0.3646,29.6,30.4,29-Jan-21,790,87.8,92.7,-0.6353,29 JAN 21  (25)  100 (Weeklys)
0.3516,28.1,28.95,29-Jan-21,795,91.35,95.9,-0.649,29 JAN 21  (25)  100 (Weeklys)
0.3397,27.15,27.45,29-Jan-21,800,94.7,98.45,-0.6647,29 JAN 21  (25)  100 (Weeklys)
0.3146,24.15,24.95,29-Jan-21,810,102.15,105.7,-0.6898,29 JAN 21  (25)  100 (Weeklys)
0.2913,21.8,22.55,29-Jan-21,820,109.8,114.3,-0.7107,29 JAN 21  (25)  100 (Weeklys)
0.2794,20.75,21.15,29-Jan-21,825,113.9,117.45,-0.7236,29 JAN 21  (25)  100 (Weeklys)
0.2695,19.7,20.4,29-Jan-21,830,117.9,122.55,-0.7309,29 JAN 21  (25)  100 (Weeklys)
0.2486,17.7,18.45,29-Jan-21,840,125.8,130.65,-0.752,29 JAN 21  (25)  100 (Weeklys)
0.2293,15.95,16.7,29-Jan-21,850,134.1,137.75,-0.7752,29 JAN 21  (25)  100 (Weeklys)
0.2113,14.4,15.1,29-Jan-21,860,142.7,145.9,-0.7939,29 JAN 21  (25)  100 (Weeklys)
0.1943,12.95,13.65,29-Jan-21,870,151.15,155.9,-0.8058,29 JAN 21  (25)  100 (Weeklys)
0.1864,12.3,13,29-Jan-21,875,155.5,159.2,-0.818,29 JAN 21  (25)  100 (Weeklys)
0.1788,11.7,12.35,29-Jan-21,880,159.9,163.5,-0.826,29 JAN 21  (25)  100 (Weeklys)
0.1659,10.85,11.25,29-Jan-21,890,168.8,173.55,-0.8351,29 JAN 21  (25)  100 (Weeklys)
0.1505,9.55,10,29-Jan-21,900,177.75,181.25,-0.8542,29 JAN 21  (25)  100 (Weeklys)
0.1281,7.85,8.4,29-Jan-21,920,196.05,200.4,-0.8733,29 JAN 21  (25)  100 (Weeklys)
0.1088,6.5,7,29-Jan-21,940,214.65,219.1,-0.8924,29 JAN 21  (25)  100 (Weeklys)
0.0926,5.35,5.9,29-Jan-21,960,233.45,237.4,-0.9124,29 JAN 21  (25)  100 (Weeklys)
0.0799,4.6,5,29-Jan-21,980,252.5,257.3,-0.9218,29 JAN 21  (25)  100 (Weeklys)
0.069,4,4.2,29-Jan-21,1000,271.8,276.5,-0.9333,29 JAN 21  (25)  100 (Weeklys)
0.0587,3.25,3.6,29-Jan-21,1020,291.1,295.85,-0.9437,29 JAN 21  (25)  100 (Weeklys)
0.05,2.78,2.97,29-Jan-21,1040,310.65,315.35,-0.9515,29 JAN 21  (25)  100 (Weeklys)
0.0446,2.34,2.8,29-Jan-21,1060,330.2,335.05,-0.9578,29 JAN 21  (25)  100 (Weeklys)
0.0394,2.01,2.51,29-Jan-21,1080,349.8,354.65,-0.9643,29 JAN 21  (25)  100 (Weeklys)
0.0338,1.78,2.05,29-Jan-21,1100,369.6,374.45,-0.9681,29 JAN 21  (25)  100 (Weeklys)
0.0297,1.54,1.81,29-Jan-21,1120,389.3,394.2,-0.9727,29 JAN 21  (25)  100 (Weeklys)
0.0262,1.34,1.61,29-Jan-21,1140,409.1,413.9,-0.9769,29 JAN 21  (25)  100 (Weeklys)
0.0234,1.18,1.44,29-Jan-21,1160,429,433.85,-0.9785,29 JAN 21  (25)  100 (Weeklys)
0.0208,1.02,1.31,29-Jan-21,1180,448.8,453.55,-0.9826,29 JAN 21  (25)  100 (Weeklys)
0.018,0.9,1.1,29-Jan-21,1200,468.7,473.55,-0.9837,29 JAN 21  (25)  100 (Weeklys)
0.0171,0.82,1.1,29-Jan-21,1220,488.55,493.35,-0.9867,29 JAN 21  (25)  100 (Weeklys)
0.015,0.5,1.18,29-Jan-21,1240,508.45,513.35,-0.9877,29 JAN 21  (25)  100 (Weeklys)
0.0138,0.7,0.85,29-Jan-21,1260,528.4,533.3,-0.9887,29 JAN 21  (25)  100 (Weeklys)
0.9604,281.35,286.05,5-Feb-21,450,4,4.3,-0.041,5 FEB 21  (32)  100 (Weeklys)
0.9493,257.35,262.15,5-Feb-21,475,4.85,5.4,-0.0516,5 FEB 21  (32)  100 (Weeklys)
0.9355,233.65,238.45,5-Feb-21,500,6.15,6.85,-0.0659,5 FEB 21  (32)  100 (Weeklys)
0.9178,210.35,215.15,5-Feb-21,525,7.8,8.2,-0.0823,5 FEB 21  (32)  100 (Weeklys)
0.8966,187.65,191.8,5-Feb-21,550,9.95,10.35,-0.1045,5 FEB 21  (32)  100 (Weeklys)
0.8675,165.6,169.95,5-Feb-21,575,12.9,13.75,-0.1341,5 FEB 21  (32)  100 (Weeklys)
0.8606,161.5,165.6,5-Feb-21,580,13.6,14.45,-0.1406,5 FEB 21  (32)  100 (Weeklys)
0.853,157,161.9,5-Feb-21,585,14.35,15.2,-0.1475,5 FEB 21  (32)  100 (Weeklys)
0.8468,152.8,157.25,5-Feb-21,590,15.15,15.95,-0.1545,5 FEB 21  (32)  100 (Weeklys)
0.8391,148.85,153,5-Feb-21,595,16,16.8,-0.162,5 FEB 21  (32)  100 (Weeklys)
0.8309,144.75,149.05,5-Feb-21,600,16.9,17.75,-0.1699,5 FEB 21  (32)  100 (Weeklys)
0.8233,140.5,144.95,5-Feb-21,605,17.8,18.7,-0.1779,5 FEB 21  (32)  100 (Weeklys)
0.8144,136.6,141.05,5-Feb-21,610,19,19.65,-0.1866,5 FEB 21  (32)  100 (Weeklys)
0.8057,132.65,137.1,5-Feb-21,615,19.9,20.8,-0.1952,5 FEB 21  (32)  100 (Weeklys)
0.7969,128.65,133.2,5-Feb-21,620,21,21.9,-0.2042,5 FEB 21  (32)  100 (Weeklys)
0.7914,126.8,131.7,5-Feb-21,622.5,21.6,22.5,-0.2089,5 FEB 21  (32)  100 (Weeklys)
0.7865,125.15,129.65,5-Feb-21,625,22.2,23.2,-0.2137,5 FEB 21  (32)  100 (Weeklys)
0.7816,123.1,128,5-Feb-21,627.5,22.8,23.75,-0.2184,5 FEB 21  (32)  100 (Weeklys)
0.7771,121.35,125.8,5-Feb-21,630,23.45,24.35,-0.2232,5 FEB 21  (32)  100 (Weeklys)
0.7714,119.5,124.4,5-Feb-21,632.5,24.1,25,-0.2282,5 FEB 21  (32)  100 (Weeklys)
0.7667,117.85,122.2,5-Feb-21,635,24.75,25.65,-0.2331,5 FEB 21  (32)  100 (Weeklys)
0.7614,115.85,120.75,5-Feb-21,637.5,25.45,26.35,-0.2382,5 FEB 21  (32)  100 (Weeklys)
0.7567,114.15,118.5,5-Feb-21,640,26.15,27,-0.2433,5 FEB 21  (32)  100 (Weeklys)
0.7512,112.5,116.8,5-Feb-21,642.5,26.85,27.75,-0.2485,5 FEB 21  (32)  100 (Weeklys)
0.746,110.8,114.95,5-Feb-21,645,27.55,28.45,-0.2537,5 FEB 21  (32)  100 (Weeklys)
0.7405,109.1,113.3,5-Feb-21,647.5,28.3,29.2,-0.2591,5 FEB 21  (32)  100 (Weeklys)
0.7354,107.2,111.5,5-Feb-21,650,29.1,29.95,-0.2645,5 FEB 21  (32)  100 (Weeklys)
0.7298,105.5,109.9,5-Feb-21,652.5,29.85,30.75,-0.2699,5 FEB 21  (32)  100 (Weeklys)
0.7243,104,107.95,5-Feb-21,655,30.65,31.55,-0.2754,5 FEB 21  (32)  100 (Weeklys)
0.7184,102.35,106.6,5-Feb-21,657.5,31.45,32.35,-0.281,5 FEB 21  (32)  100 (Weeklys)
0.713,100.65,104.75,5-Feb-21,660,32.3,33.2,-0.2866,5 FEB 21  (32)  100 (Weeklys)
0.7072,98.9,103.3,5-Feb-21,662.5,33.15,34.05,-0.2923,5 FEB 21  (32)  100 (Weeklys)
0.7016,97.35,101.5,5-Feb-21,665,34,34.9,-0.298,5 FEB 21  (32)  100 (Weeklys)
0.6957,95.8,100,5-Feb-21,667.5,34.9,35.95,-0.3039,5 FEB 21  (32)  100 (Weeklys)
0.6899,94.1,98.5,5-Feb-21,670,35.8,36.7,-0.3096,5 FEB 21  (32)  100 (Weeklys)
0.6842,92.5,96.85,5-Feb-21,672.5,36.7,37.65,-0.3155,5 FEB 21  (32)  100 (Weeklys)
0.6781,91.15,95.4,5-Feb-21,675,37.65,38.6,-0.3214,5 FEB 21  (32)  100 (Weeklys)
0.6724,89.4,93.7,5-Feb-21,677.5,38.6,39.55,-0.3273,5 FEB 21  (32)  100 (Weeklys)
0.6665,87.7,92.35,5-Feb-21,680,39.6,40.55,-0.3333,5 FEB 21  (32)  100 (Weeklys)
0.6604,86.45,90.75,5-Feb-21,682.5,40.6,41.55,-0.3393,5 FEB 21  (32)  100 (Weeklys)
0.6544,85,89.15,5-Feb-21,685,41.55,42.55,-0.3453,5 FEB 21  (32)  100 (Weeklys)
0.6483,83.5,87.7,5-Feb-21,687.5,42.65,43.6,-0.3515,5 FEB 21  (32)  100 (Weeklys)
0.6422,82.05,86.4,5-Feb-21,690,43.65,44.65,-0.3575,5 FEB 21  (32)  100 (Weeklys)
0.6361,80.6,84.85,5-Feb-21,692.5,44.75,45.75,-0.3637,5 FEB 21  (32)  100 (Weeklys)
0.6301,79.35,83.15,5-Feb-21,695,45.8,46.85,-0.3698,5 FEB 21  (32)  100 (Weeklys)
0.6238,78,82.2,5-Feb-21,697.5,46.95,47.95,-0.376,5 FEB 21  (32)  100 (Weeklys)
0.6178,76.8,79.8,5-Feb-21,700,48.05,49,-0.3822,5 FEB 21  (32)  100 (Weeklys)
0.6115,75.1,79.3,5-Feb-21,702.5,49.2,50.25,-0.3884,5 FEB 21  (32)  100 (Weeklys)
0.6054,73.8,77.15,5-Feb-21,705,50.35,51.4,-0.3946,5 FEB 21  (32)  100 (Weeklys)
0.5991,73.8,75.05,5-Feb-21,707.5,51.55,52.6,-0.4009,5 FEB 21  (32)  100 (Weeklys)
0.5929,72.5,73.8,5-Feb-21,710,52.75,53.8,-0.4071,5 FEB 21  (32)  100 (Weeklys)
0.5866,71.2,72.5,5-Feb-21,712.5,53.95,55.05,-0.4134,5 FEB 21  (32)  100 (Weeklys)
0.5804,69.95,71,5-Feb-21,715,55.2,56.3,-0.4196,5 FEB 21  (32)  100 (Weeklys)
0.5679,67.5,68.8,5-Feb-21,720,57.75,58.8,-0.4321,5 FEB 21  (32)  100 (Weeklys)
0.5554,65.1,66.4,5-Feb-21,725,60.35,61.6,-0.4446,5 FEB 21  (32)  100 (Weeklys)
0.543,62.8,64.1,5-Feb-21,730,63,64.25,-0.4571,5 FEB 21  (32)  100 (Weeklys)
0.5306,60.5,61.85,5-Feb-21,735,65.75,67,-0.4695,5 FEB 21  (32)  100 (Weeklys)
0.5183,58.5,59.65,5-Feb-21,740,68.55,69.8,-0.4818,5 FEB 21  (32)  100 (Weeklys)
0.506,56.35,57.5,5-Feb-21,745,71.4,72.7,-0.4941,5 FEB 21  (32)  100 (Weeklys)
0.4938,54.3,55.45,5-Feb-21,750,74.35,75.65,-0.5063,5 FEB 21  (32)  100 (Weeklys)
0.4817,52.15,53.55,5-Feb-21,755,77.35,78.65,-0.5184,5 FEB 21  (32)  100 (Weeklys)
0.4699,50.45,51.55,5-Feb-21,760,80.4,81.75,-0.5304,5 FEB 21  (32)  100 (Weeklys)
0.4578,48.4,49.65,5-Feb-21,765,83.55,84.85,-0.5423,5 FEB 21  (32)  100 (Weeklys)
0.4461,46.6,47.85,5-Feb-21,770,86.75,88.05,-0.554,5 FEB 21  (32)  100 (Weeklys)
0.4345,44.85,46.1,5-Feb-21,775,90,91.3,-0.5656,5 FEB 21  (32)  100 (Weeklys)
0.4233,43.3,44.4,5-Feb-21,780,93.3,94.6,-0.5771,5 FEB 21  (32)  100 (Weeklys)
0.412,41.7,42.75,5-Feb-21,785,96.7,98,-0.5883,5 FEB 21  (32)  100 (Weeklys)
0.401,40.15,41.2,5-Feb-21,790,100.1,101.4,-0.5994,5 FEB 21  (32)  100 (Weeklys)
0.3901,38.65,39.65,5-Feb-21,795,102.75,106.4,-0.6093,5 FEB 21  (32)  100 (Weeklys)
0.3794,37.15,38.2,5-Feb-21,800,106.25,110.2,-0.6196,5 FEB 21  (32)  100 (Weeklys)
0.3587,34.4,35.5,5-Feb-21,810,113.5,117.2,-0.6407,5 FEB 21  (32)  100 (Weeklys)
0.3385,31.8,32.85,5-Feb-21,820,120.95,124.85,-0.6601,5 FEB 21  (32)  100 (Weeklys)
0.3192,29.4,30.45,5-Feb-21,830,128.6,132.45,-0.6792,5 FEB 21  (32)  100 (Weeklys)
0.3009,27.2,28.25,5-Feb-21,840,136.5,140.15,-0.6974,5 FEB 21  (32)  100 (Weeklys)
0.2834,25.15,26.2,5-Feb-21,850,143.55,147.95,-0.7173,5 FEB 21  (32)  100 (Weeklys)
0.2667,23.25,24.3,5-Feb-21,860,152,156.15,-0.7329,5 FEB 21  (32)  100 (Weeklys)
0.2509,21.55,22.5,5-Feb-21,870,160.8,164.5,-0.7469,5 FEB 21  (32)  100 (Weeklys)
0.2359,19.95,20.85,5-Feb-21,880,168.8,172.85,-0.763,5 FEB 21  (32)  100 (Weeklys)
0.2219,18.45,19.4,5-Feb-21,890,177.3,181.2,-0.7776,5 FEB 21  (32)  100 (Weeklys)
0.208,17.2,17.75,5-Feb-21,900,185.6,189.65,-0.7925,5 FEB 21  (32)  100 (Weeklys)
0.1847,14.8,15.6,5-Feb-21,920,203,207.45,-0.8167,5 FEB 21  (32)  100 (Weeklys)
0.1636,12.8,13.6,5-Feb-21,940,221.25,225.05,-0.8384,5 FEB 21  (32)  100 (Weeklys)
0.1445,11.05,11.8,5-Feb-21,960,239.45,243.75,-0.8559,5 FEB 21  (32)  100 (Weeklys)
0.1291,9.7,10.45,5-Feb-21,980,258.15,262.35,-0.8714,5 FEB 21  (32)  100 (Weeklys)
0.1149,8.5,9.2,5-Feb-21,1000,276.9,281.15,-0.8855,5 FEB 21  (32)  100 (Weeklys)
0.1,7.25,7.95,5-Feb-21,1025,300.6,304.95,-0.9004,5 FEB 21  (32)  100 (Weeklys)
0.0875,6.25,6.9,5-Feb-21,1050,323.9,328.8,-0.9166,5 FEB 21  (32)  100 (Weeklys)
0.0768,5.4,6.05,5-Feb-21,1075,348.15,353.05,-0.9265,5 FEB 21  (32)  100 (Weeklys)
0.0674,4.6,5.35,5-Feb-21,1100,372.45,377.2,-0.9362,5 FEB 21  (32)  100 (Weeklys)
0.8067,148.9,153.35,12-Feb-21,600,20.4,21.7,-0.1843,12 FEB 21  (39)  100 (Weeklys)
0.801,143.95,149.45,12-Feb-21,605,20.95,23.05,-0.1919,12 FEB 21  (39)  100 (Weeklys)
0.7969,140.1,143.35,12-Feb-21,610,22.1,23.35,-0.1989,12 FEB 21  (39)  100 (Weeklys)
0.7851,136.35,141.85,12-Feb-21,615,23.3,25.55,-0.2091,12 FEB 21  (39)  100 (Weeklys)
0.7768,132.6,138.1,12-Feb-21,620,24.55,26.8,-0.2179,12 FEB 21  (39)  100 (Weeklys)
0.7682,128.95,134.4,12-Feb-21,625,25.85,28.15,-0.227,12 FEB 21  (39)  100 (Weeklys)
0.7594,125.35,130.75,12-Feb-21,630,27.25,29.55,-0.2364,12 FEB 21  (39)  100 (Weeklys)
0.7503,121.85,127.05,12-Feb-21,635,28.65,30.95,-0.2458,12 FEB 21  (39)  100 (Weeklys)
0.741,118.35,123.55,12-Feb-21,640,30.15,32.45,-0.2556,12 FEB 21  (39)  100 (Weeklys)
0.7314,114.95,120.05,12-Feb-21,645,31.75,33.5,-0.265,12 FEB 21  (39)  100 (Weeklys)
0.7215,111.6,116.65,12-Feb-21,650,33.35,35.05,-0.275,12 FEB 21  (39)  100 (Weeklys)
0.7115,108.3,113.35,12-Feb-21,655,35.05,37.25,-0.2859,12 FEB 21  (39)  100 (Weeklys)
0.7012,105.1,110.1,12-Feb-21,660,36.8,38.9,-0.2963,12 FEB 21  (39)  100 (Weeklys)
0.696,103.55,108.45,12-Feb-21,662.5,37.7,39.85,-0.3016,12 FEB 21  (39)  100 (Weeklys)
0.6908,101.95,106.9,12-Feb-21,665,38.6,40.75,-0.3069,12 FEB 21  (39)  100 (Weeklys)
0.6855,100.4,105.3,12-Feb-21,667.5,39.6,41.8,-0.3124,12 FEB 21  (39)  100 (Weeklys)
0.6802,98.9,103.75,12-Feb-21,670,40.5,42.8,-0.3178,12 FEB 21  (39)  100 (Weeklys)
0.6748,97.4,102.2,12-Feb-21,672.5,41.5,43.7,-0.3233,12 FEB 21  (39)  100 (Weeklys)
0.6694,95.9,100.7,12-Feb-21,675,42.45,44.8,-0.3288,12 FEB 21  (39)  100 (Weeklys)
0.664,94.4,99.2,12-Feb-21,677.5,43.45,45.95,-0.3343,12 FEB 21  (39)  100 (Weeklys)
0.6586,92.95,97.7,12-Feb-21,680,44.5,46.9,-0.3398,12 FEB 21  (39)  100 (Weeklys)
0.6531,91.5,96.2,12-Feb-21,682.5,45.55,47.75,-0.3453,12 FEB 21  (39)  100 (Weeklys)
0.6476,90.1,94.75,12-Feb-21,685,46.6,48.75,-0.3509,12 FEB 21  (39)  100 (Weeklys)
0.6421,88.65,93.3,12-Feb-21,687.5,47.65,49.95,-0.3565,12 FEB 21  (39)  100 (Weeklys)
0.6365,87.3,91.9,12-Feb-21,690,48.75,51.5,-0.3623,12 FEB 21  (39)  100 (Weeklys)
0.631,85.9,90.5,12-Feb-21,692.5,49.85,52.35,-0.3678,12 FEB 21  (39)  100 (Weeklys)
0.6254,84.55,89.1,12-Feb-21,695,51,53.05,-0.3734,12 FEB 21  (39)  100 (Weeklys)
0.6198,83.2,87.75,12-Feb-21,697.5,52.15,54.8,-0.3791,12 FEB 21  (39)  100 (Weeklys)
0.614,83.15,86.4,12-Feb-21,700,53.95,54.9,-0.3847,12 FEB 21  (39)  100 (Weeklys)
0.6085,80.6,85.05,12-Feb-21,702.5,54.5,57.15,-0.3905,12 FEB 21  (39)  100 (Weeklys)
0.6029,79.3,83.75,12-Feb-21,705,55.7,58.55,-0.3962,12 FEB 21  (39)  100 (Weeklys)
0.5972,79.2,81.45,12-Feb-21,707.5,56.9,59.4,-0.4018,12 FEB 21  (39)  100 (Weeklys)
0.5916,77.95,80.2,12-Feb-21,710,58.1,60.5,-0.4075,12 FEB 21  (39)  100 (Weeklys)
0.586,76.7,79.25,12-Feb-21,712.5,59.35,61.9,-0.4132,12 FEB 21  (39)  100 (Weeklys)
0.5803,75.45,77.75,12-Feb-21,715,60.6,63.2,-0.4189,12 FEB 21  (39)  100 (Weeklys)
0.5688,73.05,74.4,12-Feb-21,720,63.85,65.75,-0.4302,12 FEB 21  (39)  100 (Weeklys)
0.5577,70.65,73.05,12-Feb-21,725,65.85,68.5,-0.4416,12 FEB 21  (39)  100 (Weeklys)
0.5464,68.1,70.95,12-Feb-21,730,68.6,71.15,-0.453,12 FEB 21  (39)  100 (Weeklys)
0.5353,66.15,68.7,12-Feb-21,735,71.3,74.2,-0.4642,12 FEB 21  (39)  100 (Weeklys)
0.5241,63.95,66.55,12-Feb-21,740,74.1,77.05,-0.4754,12 FEB 21  (39)  100 (Weeklys)
0.5131,62.05,64.45,12-Feb-21,745,77,79.95,-0.4865,12 FEB 21  (39)  100 (Weeklys)
0.5017,59.5,62.4,12-Feb-21,750,79.95,82.9,-0.4976,12 FEB 21  (39)  100 (Weeklys)
0.491,57.8,60.4,12-Feb-21,755,82.95,85.9,-0.5086,12 FEB 21  (39)  100 (Weeklys)
0.4801,55.9,58.45,12-Feb-21,760,86,88.95,-0.5195,12 FEB 21  (39)  100 (Weeklys)
0.4694,54,56.6,12-Feb-21,765,89.15,92.05,-0.5303,12 FEB 21  (39)  100 (Weeklys)
0.4584,51.9,54.75,12-Feb-21,770,92.3,95.2,-0.5411,12 FEB 21  (39)  100 (Weeklys)
0.4484,51.1,52.6,12-Feb-21,775,95.55,98.45,-0.5517,12 FEB 21  (39)  100 (Weeklys)
0.4375,48.6,51.25,12-Feb-21,780,98.8,101.7,-0.5622,12 FEB 21  (39)  100 (Weeklys)
0.4272,46.95,49.55,12-Feb-21,785,102.15,105,-0.5726,12 FEB 21  (39)  100 (Weeklys)
0.4171,45.35,47.95,12-Feb-21,790,105.55,108.1,-0.5831,12 FEB 21  (39)  100 (Weeklys)
0.4061,43.8,45.7,12-Feb-21,795,109,111.8,-0.5928,12 FEB 21  (39)  100 (Weeklys)
0.3971,42.3,44.85,12-Feb-21,800,111.6,116.1,-0.6028,12 FEB 21  (39)  100 (Weeklys)
0.9996,528.65,530.95,19-Feb-21,200,0.21,0.38,-0.0023,19 FEB 21  (46)  100
0.9973,517.7,522.5,19-Feb-21,210,0.24,0.49,-0.0029,19 FEB 21  (46)  100
0.9964,507.85,512.6,19-Feb-21,220,0.21,0.52,-0.003,19 FEB 21  (46)  100
0.9961,497.8,502.7,19-Feb-21,230,0.27,0.58,-0.0035,19 FEB 21  (46)  100
0.9957,487.9,492.7,19-Feb-21,240,0.41,0.65,-0.0043,19 FEB 21  (46)  100
0.9964,478.7,481.65,19-Feb-21,250,0.5,0.65,-0.0048,19 FEB 21  (46)  100
0.994,468.05,472.95,19-Feb-21,260,0.58,0.82,-0.0058,19 FEB 21  (46)  100
0.9933,458.15,463,19-Feb-21,270,0.69,0.93,-0.0067,19 FEB 21  (46)  100
0.9922,456.3,461.2,19-Feb-21,272,0.64,0.96,-0.0067,19 FEB 21  (46)  100
0.9926,455.25,460.1,19-Feb-21,273,0.65,0.97,-0.0068,19 FEB 21  (46)  100
0.9924,454.3,459.1,19-Feb-21,274,0.63,1.02,-0.0069,19 FEB 21  (46)  100
0.9924,453.3,458.1,19-Feb-21,275,0.74,0.99,-0.0072,19 FEB 21  (46)  100
0.9927,452.25,457.05,19-Feb-21,276,0.66,1,-0.007,19 FEB 21  (46)  100
0.9916,451.4,456.25,19-Feb-21,277,0.67,1.05,-0.0072,19 FEB 21  (46)  100
0.9917,450.35,455.25,19-Feb-21,278,0.68,1.06,-0.0073,19 FEB 21  (46)  100
0.9925,449.25,454.1,19-Feb-21,279,0.69,1.05,-0.0073,19 FEB 21  (46)  100
0.9923,448.25,453.15,19-Feb-21,280,0.8,1.06,-0.0077,19 FEB 21  (46)  100
0.9922,447.3,452.1,19-Feb-21,281,0.78,1.07,-0.0077,19 FEB 21  (46)  100
0.9914,446.4,451.25,19-Feb-21,282,0.73,1.12,-0.0077,19 FEB 21  (46)  100
