This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 10/5/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
781.53,+6.31,"30,483,341",796.50,806.9699,776.12

8 OCT 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0006,-.04,.06,950 / 960,8.20,11.70,-.0031,,
,,.0013,-.05,.10,960 / 970,8.45,11.80,.0060,,
,,.0003,-.06,.07,970 / 980,8.45,11.50,-.0012,,
,,-.0002,-.04,.03,980 / 990,8.45,11.55,-.0002,,
,,.0005,-.02,.04,990 / 1000,8.45,11.50,-.0011,,
,,-.0007,-.05,.01,1000 / 1025,20.80,27.10,-.0036,,
,,.0005,-.01,.03,1025 / 1050,20.55,32.40,.0144,,
,,.0007,-.01,.04,1050 / 1075,18.35,29.90,-.0144,,
,,.0001,-.02,.02,1075 / 1100,22.20,31.70,.0313,,
,,-.0001,-.02,.01,1100 / 1125,17.90,29.95,-.0190,,
,,.0002,-.01,.02,1125 / 1150,17.95,32.05,-.0005,,
,,.00,-.02,.02,1150 / 1175,17.95,32.10,.00,,
,,.0004,-.02,.04,1175 / 1200,17.90,32.10,-.0004,,
,,-.0001,-.03,.02,1200 / 1225,17.90,32.05,-.0008,,
,,.0003,-.01,.03,1225 / 1250,17.95,32.05,-.0003,,
,,.00,-.02,.02,1250 / 1275,17.95,32.00,-.0007,,
,,.00,-.02,.02,1275 / 1300,18.00,32.10,.0005,,
,,.0002,-.01,.02,1300 / 1325,17.90,32.10,-.0003,,
,,.00,-.01,.01,1325 / 1350,17.90,32.05,-.0006,,
,,.00,-.01,.01,1350 / 1375,17.95,32.00,-.0006,,
,,.00,-.01,.01,1375 / 1400,18.00,32.05,.0002,,

15 OCT 21  (11)  100
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,48.10,51.90,50 / 100,-.01,.01,.00,,
,,.00,48.15,51.85,100 / 150,-.01,.01,.00,,
,,.00,48.15,51.85,150 / 200,-.01,.01,.00,,
,,.00,48.30,51.75,200 / 250,.01,.05,-.0004,,
,,.0006,48.20,51.65,250 / 300,-.02,.03,-.0001,,
,,.00,8.15,11.85,300 / 310,-.04,.02,.0001,,
,,.00,8.15,11.85,310 / 320,-.04,.11,-.0005,,
,,.0003,8.10,11.85,320 / 330,-.10,.16,-.0004,,
,,.00,8.10,11.90,330 / 340,-.17,.03,.0009,,
,,.0004,8.10,11.85,340 / 350,0,.17,-.0011,,
