This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 8/3/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
709.67,+22.47,"33,615,765",700.00,726.94,698.40

6 AUG 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0126,.08,.34,780 / 790,8.35,11.05,-.0163,,
,,.0117,.18,.25,790 / 800,8.45,11.15,-.0113,,
,,.0077,.09,.18,800 / 810,8.40,11.25,-.0097,,
,,.0055,.03,.16,810 / 820,8.55,11.40,-.0024,,
,,.0035,.01,.10,820 / 830,8.55,11.30,-.0044,,
,,.0036,.02,.11,830 / 840,8.45,11.35,-.0054,,
,,.0026,.01,.08,840 / 850,8.60,11.45,.0008,,
,,.0016,0,.05,850 / 860,8.60,11.30,-.0027,,
,,.0014,0,.05,860 / 870,8.50,11.35,-.0042,,
,,.0016,0,.06,870 / 880,8.60,11.50,.0026,,
,,.0005,-.03,.04,880 / 890,8.60,11.35,-.0014,,
,,.0013,0,.05,890 / 900,8.60,11.35,-.0014,,
,,.0010,-.03,.07,900 / 910,8.65,11.40,.0012,,
,,-.0001,-.06,.05,910 / 920,8.60,11.35,-.0013,,
,,.0011,0,.05,920 / 930,8.60,11.40,.00,,
,,-.0003,-.03,.01,930 / 940,8.55,11.35,-.0012,,
,,.0009,0,.04,940 / 950,8.60,11.40,.00,,
,,-.0003,-.04,.02,950 / 960,8.65,11.40,.00,,
,,.0003,-.03,.04,960 / 970,8.60,11.35,.00,,
,,.0001,-.02,.02,970 / 980,8.65,11.40,.00,,
,,.0006,-.01,.04,980 / 990,8.60,11.35,.00,,
,,.00,-.03,.03,990 / 1000,8.60,11.40,.00,,
,,.0004,-.02,.04,1000 / 1025,23.60,26.40,.00,,
,,.0001,-.03,.03,1025 / 1050,23.60,26.40,.00,,
,,-.0003,-.04,.02,1050 / 1075,23.55,26.40,.00,,
,,.0004,-.01,.03,1075 / 1100,23.45,26.45,.00,,
,,.00,-.01,.01,1100 / 1125,23.55,26.55,.00,,
,,.00,-.01,.01,1125 / 1150,23.55,26.45,.00,,
,,.0003,0,.02,1150 / 1175,23.55,26.45,.00,,
,,.00,-.01,.01,1175 / 1200,23.55,26.45,.00,,
,,.0002,-.01,.02,1200 / 1225,23.55,26.45,.00,,
,,-.0001,-.02,.01,1225 / 1250,23.60,26.45,.00,,
,,.0003,0,.02,1250 / 1275,23.45,26.40,.00,,
,,-.0002,-.02,.01,1275 / 1300,23.55,26.55,.00,,
,,.00,-.02,.02,1300 / 1325,23.60,26.45,.00,,
,,.0002,-.01,.02,1325 / 1350,23.55,26.40,.00,,
,,.00,-.01,.01,1350 / 1375,23.55,26.45,.00,,

13 AUG 21  (11)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0002,98.45,101.55,100 / 200,-.01,.01,.00,,
,,.0003,98.50,101.50,200 / 300,.01,.05,-.0005,,
,,.0026,98.40,101.35,300 / 400,.03,.08,-.0014,,
,,.0030,48.40,51.35,400 / 450,.06,.11,-.0022,,
,,.0015,18.50,21.40,450 / 470,.02,.12,-.0018,,
,,.0002,3.55,6.45,470 / 475,-.05,.10,-.0006,,
,,.0007,3.50,6.45,475 / 480,-.06,.10,-.0006,,
,,.0002,3.55,6.45,480 / 485,-.06,.10,-.0006,,
,,.0007,3.55,6.40,485 / 490,-.03,.10,-.0009,,
,,.0007,3.50,6.45,490 / 495,-.07,.09,-.0004,,
,,.0017,3.40,6.45,495 / 500,-.06,.12,-.0008,,
,,-.0007,3.55,6.55,500 / 505,-.04,.06,-.0004,,
,,.0008,3.55,6.40,505 / 510,-.01,.05,-.0007,,
,,.0008,3.55,6.40,510 / 515,-.03,.07,-.0007,,
,,.0023,3.40,6.40,515 / 520,-.04,.19,-.0018,,
,,.0009,3.40,6.55,520 / 525,-.10,.12,-.0006,,
,,-.0001,3.50,6.55,525 / 530,-.07,.11,-.0008,,
,,.0024,3.40,6.40,530 / 535,-.09,.14,-.0009,,
,,.0015,3.40,6.50,535 / 540,-.07,.15,-.0013,,
,,.0001,3.55,6.50,540 / 545,-.07,.14,-.0012,,
,,.0016,3.55,6.35,545 / 550,0,.13,-.0019,,
,,.0017,3.55,6.35,550 / 555,-.02,.09,-.0013,,
,,.0017,3.55,6.35,555 / 560,-.05,.10,-.0012,,
,,.0023,3.50,6.35,560 / 565,-.02,.16,-.0022,,
,,.0024,3.45,6.40,565 / 570,-.05,.17,-.0021,,
,,.0025,3.45,6.40,570 / 575,-.04,.21,-.0027,,
,,.0026,3.50,6.35,575 / 580,-.07,.19,-.0023,,
,,.0017,3.60,6.35,580 / 585,-.03,.19,-.0028,,
,,.0050,3.40,6.25,585 / 590,-.01,.20,-.0033,,
,,.0046,3.30,6.40,590 / 595,0,.23,-.0039,,
,,.0032,3.40,6.45,595 / 600,.01,.23,-.0042,,
,,.0045,3.40,6.35,600 / 605,.04,.27,-.0051,,
,,.0057,3.35,6.30,605 / 610,.04,.31,-.0058,,
,,.0060,3.35,6.30,610 / 615,.05,.31,-.0061,,
,,.0073,3.30,6.25,615 / 620,.09,.36,-.0073,,
,,.0071,3.40,6.20,620 / 625,.10,.39,-.0080,,
,,.0104,3.25,6.05,625 / 630,.19,.47,-.0101,,
,,.0058,.80,3.80,630 / 632.5,0,.31,-.0050,,
,,.0040,.95,3.85,632.5 / 635,0,.42,-.0061,,
,,.0087,.80,3.50,635 / 637.5,-.05,.40,-.0056,,
,,.0074,.85,3.60,637.5 / 640,0,.45,-.0066,,
,,.0070,.85,3.65,640 / 642.5,0,.50,-.0071,,
,,.0063,.95,3.65,642.5 / 645,0,.45,-.0068,,
,,.0077,.90,3.55,645 / 647.5,.05,.50,-.0078,,
,,.0082,.85,3.55,647.5 / 650,.05,.55,-.0083,,
,,.0084,.90,3.50,650 / 652.5,.05,.75,-.0100,,
,,.0100,.80,3.40,652.5 / 655,-.10,.60,-.0078,,
,,.0094,.80,3.50,655 / 657.5,.20,.60,-.0103,,
,,.0099,.80,3.45,657.5 / 660,.15,.70,-.0107,,
,,.0107,.65,3.50,660 / 662.5,0,.80,-.0105,,
,,.0137,.45,3.25,662.5 / 665,.15,1.00,-.0129,,
,,.0095,.80,3.60,665 / 667.5,-.20,.80,-.0096,,
,,.0132,.40,3.40,667.5 / 670,.10,.95,-.0126,,
,,.0125,.45,3.50,670 / 672.5,.15,1.00,-.0133,,
,,.0144,.35,3.25,672.5 / 675,.15,1.25,-.0147,,
,,.0129,.55,3.40,675 / 677.5,.05,1.25,-.0142,,
,,.0153,.25,3.20,677.5 / 680,.05,1.30,-.0146,,
,,.0140,.50,3.30,680 / 682.5,.05,1.35,-.0149,,
,,.0153,.60,2.90,682.5 / 685,.10,1.45,-.0157,,
,,.0160,.80,2.55,685 / 687.5,.10,1.40,-.0156,,
,,.0160,.85,2.55,687.5 / 690,.25,1.55,-.0167,,
,,.0165,.75,2.50,690 / 692.5,.25,1.55,-.0168,,
,,.0171,.65,2.40,692.5 / 695,.25,1.55,-.0169,,
,,.0171,.70,2.40,695 / 697.5,.35,1.70,-.0175,,
,,.0179,.55,2.10,697.5 / 700,.40,1.65,-.0176,,
,,.0176,.75,2.15,700 / 702.5,.45,1.75,-.0178,,
,,.0178,.70,2.10,702.5 / 705,.45,1.85,-.0180,,
,,.0179,.60,2.05,705 / 707.5,.70,1.90,-.0181,,
,,.0179,.50,1.85,707.5 / 710,.55,1.80,-.0181,,
,,.0359,1.75,3.05,710 / 715,1.95,3.35,-.0361,,
,,.0355,1.45,2.85,715 / 720,2.10,3.55,-.0358,,
,,.0345,1.25,2.60,720 / 725,2.25,3.85,-.0349,,
,,.0337,1.10,2.50,725 / 730,2.35,4.05,-.0340,,
,,.0320,.85,2.30,730 / 735,2.55,4.25,-.0325,,
,,.0307,.75,2.15,735 / 740,2.70,4.50,-.0305,,
,,.0293,.65,2.00,740 / 745,2.55,4.75,-.0299,,
,,.0236,.40,1.35,745 / 750,2.75,5.10,-.0264,,
,,.0260,.70,1.50,750 / 755,2.80,5.15,-.0255,,
,,.0211,.40,1.15,755 / 760,2.90,5.35,-.0230,,
,,.0399,1.25,1.70,760 / 770,7.35,9.90,-.0390,,
,,.0326,.90,1.35,770 / 780,7.55,10.25,-.0328,,
,,.0267,.65,1.10,780 / 790,7.80,10.50,-.0267,,
,,.0201,.46,.76,790 / 800,7.90,10.70,-.0227,,
,,.0170,.41,.61,800 / 810,8.10,11.00,-.0160,,
,,.0162,.28,.71,810 / 820,8.15,11.05,-.0141,,
,,.0082,-.03,.44,820 / 830,8.30,11.20,-.0096,,
,,.0077,.08,.33,830 / 840,8.25,11.25,-.0092,,
,,.0078,.10,.34,840 / 850,8.35,11.35,-.0060,,
,,.0045,-.02,.24,850 / 860,8.45,11.30,-.0050,,
,,.0044,-.01,.24,860 / 870,8.45,11.30,-.0048,,
,,.0033,-.03,.20,870 / 880,8.50,11.35,-.0031,,
,,.0031,-.03,.19,880 / 890,8.50,11.35,-.0030,,
,,.0025,-.02,.15,890 / 900,8.50,11.40,-.0021,,
,,.0014,-.05,.11,900 / 910,8.50,11.40,-.0020,,
,,.0025,-.01,.15,910 / 920,8.40,11.40,-.0039,,
,,.0012,-.06,.12,920 / 930,8.50,11.55,.0008,,
,,.0015,-.08,.16,930 / 940,8.50,11.45,-.0011,,
,,.0019,-.04,.15,940 / 950,8.50,11.45,-.0010,,
,,.0004,-.06,.07,950 / 960,8.55,11.45,-.0001,,
,,.0003,-.07,.08,960 / 970,8.55,11.40,-.0010,,
,,.0010,-.05,.11,970 / 980,8.45,11.45,-.0021,,
,,-.0004,-.09,.05,980 / 990,8.55,11.55,.0020,,
,,.0007,-.03,.07,990 / 1000,8.55,11.40,-.0010,,

20 AUG 21  (18)  100
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0002,24.00,35.90,20 / 50,-.01,.01,.00,,
,,.0002,48.45,51.50,50 / 100,0,.02,-.0001,,
,,.0001,48.45,51.55,100 / 150,-.01,.02,-.0001,,
,,-.0001,48.50,51.55,150 / 200,-.01,.04,-.0002,,
,,.0007,48.45,51.45,200 / 250,-.02,.03,-.0001,,
,,.0008,48.45,51.45,250 / 300,.04,.10,-.0010,,
,,.0001,8.50,11.50,300 / 310,-.08,.07,.00,,
,,.0004,8.50,11.45,310 / 320,-.10,.16,-.0004,,
,,.0004,8.50,11.45,320 / 330,-.14,.15,-.0001,,
,,.0004,8.50,11.45,330 / 340,-.11,.08,.0001,,
,,.0004,8.50,11.45,340 / 350,0,.10,-.0008,,
,,.0011,8.35,11.50,350 / 360,-.08,.07,.00,,
,,-.0001,8.45,11.60,360 / 370,-.10,.09,.00,,
,,.0011,8.35,11.50,370 / 380,-.07,.16,-.0008,,
,,-.0004,8.50,11.60,380 / 390,-.03,.16,-.0011,,
,,.0015,8.35,11.45,390 / 400,-.09,.04,.0002,,
,,-.0004,8.50,11.60,400 / 410,-.05,.14,-.0008,,
,,.0013,8.45,11.40,410 / 420,-.05,.09,-.0005,,
,,.0003,8.50,11.50,420 / 430,-.02,.11,-.0009,,
,,.0011,8.45,11.45,430 / 440,-.06,.09,-.0005,,
,,.0007,8.50,11.45,440 / 450,.04,.13,-.0016,,
,,.0016,8.45,11.40,450 / 460,-.01,.10,-.0011,,
,,.0013,8.45,11.45,460 / 470,-.05,.11,-.0009,,
,,.0010,8.50,11.45,470 / 480,-.03,.16,-.0016,,
,,.0018,8.45,11.40,480 / 490,-.05,.17,-.0016,,
,,.0019,8.45,11.40,490 / 500,-.01,.24,-.0026,,
,,.0012,3.50,6.40,500 / 505,-.23,.13,.0004,,
,,.0016,3.45,6.40,505 / 510,-.20,.32,-.0014,,
,,.0017,3.45,6.40,510 / 515,-.09,.34,-.0025,,
,,.0013,3.50,6.40,515 / 520,-.28,.17,.0004,,
,,.0014,3.50,6.40,520 / 525,-.21,.35,-.0017,,
,,.0018,3.45,6.40,525 / 530,-.14,.33,-.0022,,
,,.0023,3.40,6.40,530 / 535,-.13,.31,-.0022,,
,,.0024,3.40,6.40,535 / 540,-.07,.28,-.0025,,
,,.0016,3.50,6.40,540 / 545,-.07,.22,-.0020,,
,,.0017,3.55,6.35,545 / 550,-.05,.24,-.0024,,
,,.0038,3.40,6.25,550 / 555,-.18,.25,-.0015,,
,,.0031,3.40,6.35,555 / 560,-.19,.42,-.0029,,
,,.0032,3.35,6.40,560 / 565,-.06,.43,-.0042,,
,,.0037,3.55,6.15,565 / 570,-.04,.30,-.0034,,
,,.0034,3.85,5.90,570 / 575,-.07,.51,-.0050,,
,,.0047,3.80,5.80,575 / 580,-.18,.42,-.0035,,
,,.0045,3.80,5.85,580 / 585,.02,.37,-.0048,,
,,.0058,3.70,5.80,585 / 590,.05,.39,-.0054,,
,,.0056,3.75,5.80,590 / 595,.16,.42,-.0067,,
,,.0062,3.75,5.75,595 / 600,.11,.35,-.0059,,
,,.0071,3.70,5.70,600 / 605,.05,.50,-.0068,,
,,.0081,3.65,5.65,605 / 610,.15,.65,-.0089,,
,,.0090,3.60,5.60,610 / 615,.20,.60,-.0091,,
,,.0100,3.55,5.55,615 / 620,.25,.65,-.0100,,
,,.0103,3.60,5.50,620 / 625,.30,.70,-.0110,,
,,.0128,3.40,5.35,625 / 630,.25,.90,-.0122,,
,,.0127,3.40,5.40,630 / 635,.25,1.10,-.0137,,
