Event,Category,Name,Gender,Weight,Age,Country,Record,Season,Source
1000,50-59,Justine Reston,F,Lwt,50,GBR,03:29.8,2020,PM Verification Code
1000,60-69,Ken Gates,M,Hwt,60,USA,02:59.6,2020,PM Verification Code
1000,60-69,Martin Luirink,M,Lwt,61,NED,03:10.8,2021,PM Verification Code
1000,60-69,Elena Tereshina,F,Hwt,60,UKR,03:34.5,2019,PM Verification Code
1000,60-69,Carol Woodward,F,Lwt,60,GBR,03:43.0,2019,PM Verification Code
1000,70-79,James Castellan,M,Hwt,70,USA,03:13.6,2016,PM Verification Code
1000,70-79,Alain Mangin,M,Lwt,70,FRA,03:22.5,2019,PM Verification Code
1000,70-79,Mies Bernelot Moens,F,Hwt,70,NED,03:50.4,2016,PM Verification Code
1000,70-79,Anne Cresswell,F,Lwt,70,AUS,03:58.9,2009,Witnessed at public club
1000,80-89,Jan Otto Kristiansen,M,Hwt,80,NOR,03:33.1,2021,PM Verification Code
1000,80-89,Dave Watts,M,Lwt,80,CAN,03:42.8,2019,PM Verification Code
1000,80-89,Luanne Mills,F,Hwt,80,USA,04:18.2,2019,PM Verification Code
1000,80-89,Anne Cresswell,F,Lwt,80,AUS,04:20.1,2019,PM Verification Code
1000,90-99,Allan Coles,M,Hwt,91,AUS,04:11.0,2019,PM Verification Code
1000,90-99,Robert Spenger,M,Lwt,90,USA,04:18.1,2015,PM Verification Code
1000,90-99,Mary Elizabeth Norckauer,F,Lwt,90,USA,05:56.9,2015,Witnessed at public club
1000,90-99,Val Coleman,F,Hwt,91,GBR,07:35.7,2020,PM Verification Code
1000,100+,Sid Zacharias,M,Lwt,101,USA,08:24.8,2017,Race result
10000,12 and Under,Isaiah Harrison,M,,12,USA,39:44.8,2016,PM Verification Code
10000,12 and Under,Teagan Farley,F,,12,USA,42:14.3,2021,PM Verification Code
10000,13-14,Isaiah Harrison,M,,14,USA,34:29.7,2018,PM Verification Code
10000,13-14,Elizabeth Sharis,F,,14,USA,39:57.2,2012,Witnessed at public club
10000,15-16,Isaiah Harrison,M,,16,USA,32:47.5,2020,PM Verification Code
10000,15-16,Emily Delleman,F,,16,USA,37:59.0,2015,PM Verification Code
10000,17-18,Thomas Digby,M,Hwt,18,GBR,32:29.3,2017,PM Verification Code
10000,17-18,Drake Deuel,M,Lwt,18,USA,33:52.7,2017,PM Verification Code
10000,17-18,Sofia Asoumanaki,F,Hwt,18,GRE,36:41.2,2016,Witnessed at public club
10000,17-18,Brigid Kennedy,F,Lwt,18,USA,39:38.5,2018,PM Verification Code
10000,19-29,Conlin McCabe,M,Hwt,27,CAN,31:24.3,2018,PM Verification Code
10000,19-29,Aaron Lattimer,M,Lwt,22,CAN,33:07.1,2019,PM Verification Code
10000,19-29,Line Espedal,F,Hwt,22,USA,35:55.0,2003,Witnessed at public club
10000,19-29,Sofia Meakin,F,Lwt,22,SUI,37:57.0,2020,PM Verification Code
10000,30-39,Eric Murray,M,Hwt,32,NZL,31:05.2,2015,PM Verification Code
10000,30-39,Martino Goretti,M,Lwt,34,ITA,32:54.2,2020,PM Verification Code
10000,30-39,Emma Twigg,F,Hwt,33,NZL,35:33.0,2020,PM Verification Code
10000,30-39,Lorraine Walker,F,Lwt,31,USA,37:43.9,2019,PM Verification Code
10000,40-49,Luke Wollenschlaeger,M,Hwt,47,RSA,32:36.8,2021,PM Verification Code
10000,40-49,Keith Darby,M,Lwt,45,GBR,34:11.8,2021,PM Verification Code
10000,40-49,Jordan Falcone,F,Hwt,40,USA,38:03.1,2019,PM Verification Code
10000,40-49,Justine Reston,F,Lwt,46,GBR,38:35.0,2016,PM Verification Code
10000,50-59,Andrew Benko,M,Hwt,50,USA,33:17.1,2018,PM Verification Code
10000,50-59,Klaus Bischof,M,Lwt,52,GER,34:23.0,2020,PM Verification Code
10000,50-59,Anne Bourlioux,F,Hwt,51,CAN,38:33.0,2012,PM Verification Code
10000,50-59,Justine Reston,F,Lwt,50,GBR,38:54.7,2020,PM Verification Code
10000,60-69,Thomas Darling,M,Hwt,60,USA,34:47.8,2019,PM Verification Code
10000,60-69,Brian Bailey,M,Lwt,61,GBR,35:54.7,2007,PM Verification Code
10000,60-69,Sarah Springman,F,Hwt,60,GBR,40:51.0,2018,PM Verification Code
10000,60-69,Joan Van Blom,F,Lwt,60,USA,41:49.2,2013,PM Verification Code
10000,70-79,TJ Oesterling,M,Hwt,70,USA,36:57.4,2019,PM Verification Code
10000,70-79,Raimund Haberl,M,Lwt,70,AUT,37:11.0,2020,PM Verification Code
10000,70-79,Eileen Ryan,F,Hwt,70,USA,43:41.3,2021,PM Verification Code
10000,70-79,Luanne Mills,F,Lwt,70,USA,43:53.1,2009,PM Verification Code
10000,80-89,Carlo Zezza,M,Hwt,80,USA,40:49.4,2016,PM Verification Code
10000,80-89,Peter Daniels,M,Lwt,80,GBR,43:33.1,2020,PM Verification Code
10000,80-89,Anne Cresswell,F,Lwt,80,AUS,49:20.1,2019,PM Verification Code
10000,80-89,Nancy Franks,F,Hwt,82,USA,58:54.4,2017,PM Verification Code
10000,90-99,Robert Spenger,M,Lwt,90,USA,48:18.5,2015,PM Verification Code
10000,90-99,Robert Spenger,M,Hwt,90,USA,48:50.8,2015,PM Verification Code
2000,12 and Under,Matt Phillips,M,,12,USA,06:57.8,2017,Race result
2000,12 and Under,Helena Purves,F,,12,GBR,07:26.7,2019,Race result
2000,13-14,Isaiah Harrison,M,,14,USA,06:16.7,2018,Race result
2000,13-14,Beckie Leigh,F,,14,NZL,07:06.1,2017,Race result
2000,15-16,Isaiah Harrison,M,,16,USA,05:53.2,2020,Race result
2000,15-16,Grace McGinley,F,,16,USA,06:46.1,2016,Race result
2000,17-18,Gennaro Di Mauro,M,Hwt,18,ITA,05:45.5,2020,Race result
2000,17-18,Henrik Stephansen,M,Lwt,18,DEN,06:06.5,2007,Race result
2000,17-18,Sofia Asoumanaki,F,Hwt,18,GRE,06:28.2,2016,Race result
2000,17-18,Christine Cavallo,F,Lwt,17,USA,07:05.7,2013,Race result
2000,19-29,Josh Dunkley-Smith,M,Hwt,28,AUS,05:35.8,2018,Race result
2000,19-29,Henrik Stephansen,M,Lwt,24,DEN,05:56.7,2013,Race result
2000,19-29,Olena Buryak,F,Hwt,29,UKR,06:22.8,2018,Race result
2000,19-29,Jennifer Casson,F,Lwt,22,CAN,06:53.8,2019,Witnessed at public club
2000,30-39,Rob Waddell,M,Hwt,32,NZL,05:36.6,2008,Race result
2000,30-39,Eskild Ebbesen,M,Lwt,32,DEN,06:06.4,2004,Race result
2000,30-39,Olena Buryak,F,Hwt,31,UKR,06:25.6,2019,Race result
2000,30-39,Lisa Schlenker,F,Lwt,35,USA,06:56.7,2000,Race result
2000,40-49,Pavel Shurmei,M,Hwt,40,BLR,05:47.8,2017,Race result
2000,40-49,Jesús González,M,Lwt,43,ESP,06:14.0,2018,Race result
