Event,Category,Name,Gender,Weight,Age,Country,Record,Season,Source
5000,12 and Under,Teagan Farley,F,,12,USA,20:10.6,2021,PM Verification Code
5000,13-14,Isaiah Harrison,M,,14,USA,16:48.6,2018,PM Verification Code
5000,13-14,Elizabeth Sharis,F,,14,USA,19:08.8,2012,PM Verification Code
5000,15-16,Isaiah Harrison,M,,16,USA,15:53.3,2020,PM Verification Code
5000,15-16,Emily Delleman,F,,16,USA,18:11.3,2015,Witnessed at public club
5000,17-18,Gennaro di Mauro,M,Hwt,18,ITA,15:20.3,2020,PM Verification Code
5000,17-18,Drake Deuel,M,Lwt,18,USA,16:21.5,2017,PM Verification Code
5000,17-18,Isabel Bisschops,F,Hwt,17,AUS,17:33.4,2020,PM Verification Code
5000,17-18,Marguerite Trost,F,Lwt,17,USA,18:54.2,2018,Witnessed at public club
5000,19-29,Mohamed Sbihi,M,Hwt,27,GBR,14:54.5,2016,PM Verification Code
5000,19-29,Drake Deuel,M,Lwt,19,USA,16:03.0,2018,PM Verification Code
5000,19-29,Georgie Rowe,F,Hwt,26,AUS,16:54.2,2020,PM Verification Code
5000,19-29,Jackie Kiddle,F,Lwt,25,NZL,18:01.8,2020,PM Verification Code
5000,30-39,Rob Wadell,M,Hwt,32,NZL,14:58.3,2008,PM Verification Code
5000,30-39,Pietro Ruta,M,Lwt,32,ITA,15:49.6,2020,PM Verification Code
5000,30-39,Frances Houghton,F,Hwt,35,GBR,17:18.2,2016,PM Verification Code
5000,30-39,Lorraine Walker,F,Lwt,31,USA,18:19.8,2019,PM Verification Code
5000,40-49,Mahé Drysdale,M,Hwt,41,NZL,15:16.4,2020,PM Verification Code
5000,40-49,Jesús González,M,Lwt,45,ESP,16:27.8,2020,PM Verification Code
5000,40-49,Su Larcombe,F,Hwt,40,GBR,18:28.4,1996,Witnessed at public club
5000,40-49,Justine Reston,F,Lwt,46,GBR,18:45.2,2016,PM Verification Code
5000,50-59,Andrew Benko,M,Hwt,50,USA,16:11.9,2018,PM Verification Code
5000,50-59,Klaus Bischof,M,Lwt,52,GER,16:46.3,2020,PM Verification Code
5000,50-59,Anne Bourlioux,F,Hwt,51,CAN,18:43.2,2012,PM Verification Code
5000,50-59,Justine Reston,F,Lwt,50,GBR,18:54.9,2019,PM Verification Code
5000,60-69,Ian McNuff,M,Hwt,60,GBR,17:00.5,2017,PM Verification Code
5000,60-69,Brian Bailey,M,Lwt,60,GBR,17:26.3,2006,Witnessed at public club
5000,60-69,Susan Hooten,F,Lwt,62,USA,19:39.5,2016,PM Verification Code
5000,60-69,Ann Wopat,F,Hwt,61,USA,19:43.5,2015,PM Verification Code
5000,70-79,TJ Oesterling,M,Hwt,70,USA,17:53.5,2019,PM Verification Code
5000,70-79,Raimund Haberl,M,Lwt,70,AUT,18:05.3,2020,PM Verification Code
5000,70-79,Eileen Ryan,F,Hwt,70,USA,21:13.0,2021,PM Verification Code
5000,70-79,Elizabeth Feldman,F,Lwt,70,AUS,21:13.1,2019,Race result
5000,80-89,Jan Otto Kristiansen,M,Hwt,80,NOR,19:55.6,2021,PM Verification Code
5000,80-89,Dean Smith,M,Lwt,80,USA,20:45.6,2007,PM Verification Code
5000,80-89,Anne Cresswell,F,Lwt,80,AUS,23:35.1,2019,PM Verification Code
5000,80-89,Joan Bajsarowicz,F,Hwt,80,USA,25:05.6,2018,Witnessed at public club
5000,90-99,Robert Spenger,M,Lwt,90,USA,23:23.9,2015,PM Verification Code
5000,90-99,Robert Spenger,M,Hwt,90,USA,23:42.4,2016,PM Verification Code
5000,90-99,Cynthia Dorfman,F,Hwt,94,USA,46:27.2,2019,Witnessed at public club
5000,90-99,Dot Kesten,F,Lwt,94,USA,01:19.6,2018,Witnessed at public club
6000,12 and Under,Isaiah Harrison,M,,12,USA,23:03.3,2016,PM Verification Code
6000,12 and Under,Anna Menke,F,,12,NED,24:05.4,2019,PM Verification Code
6000,13-14,Isaiah Harrison,M,,14,USA,20:05.6,2019,PM Verification Code
6000,13-14,Holly Davis,F,,14,IRL,22:49.0,2020,PM Verification Code
6000,15-16,Gabriel Obholzer,M,,16,GBR,19:10.1,2021,PM Verification Code
6000,15-16,Emily Delleman,F,,16,USA,21:58.1,2015,Witnessed at public club
6000,17-18,Daniel Williamson,M,Hwt,18,NZL,18:53.2,2019,PM Verification Code
6000,17-18,Charles Kwitchoff,M,Lwt,18,USA,19:47.0,2017,Video
6000,17-18,Sarah Hubbard,F,Hwt,18,AUS,21:14.7,2004,Witnessed at public club
6000,17-18,Lindsey Rust,F,Lwt,18,USA,23:00.4,2020,PM Verification Code
6000,19-29,Jordi Jofre,M,Hwt,23,ESP,18:24.4,2020,Witnessed at public club
6000,19-29,Aaron Lattimer,M,Lwt,22,CAN,19:16.0,2019,PM Verification Code
6000,19-29,Olena Buryak,F,Hwt,27,UKR,20:17.7,2016,PM Verification Code
6000,19-29,Jennifer Casson,F,Lwt,24,CAN,21:44.0,2020,PM Verification Code
6000,30-39,Eric Murray,M,Hwt,32,NZL,18:16.8,2015,PM Verification Code
6000,30-39,Will Daly,M,Lwt,30,USA,19:34.9,2014,PM Verification Code
6000,30-39,Kirsten Kline,F,Hwt,32,USA,21:09.1,2021,PM Verification Code
6000,30-39,Lorraine Walker,F,Lwt,31,USA,22:10.0,2019,PM Verification Code
6000,40-49,Nikola Stojic,M,Hwt,40,SRB,19:00.3,2015,PM Verification Code
6000,40-49,Jesus Gonzalez Alvarez,M,Lwt,46,ESP,19:39.0,2021,PM Verification Code
6000,40-49,Margit Haahr Hansen,F,Hwt,44,DEN,22:11.5,2012,Race result
6000,40-49,Justine Reston,F,Lwt,46,GBR,22:33.3,2016,PM Verification Code
6000,50-59,Andrew Benko,M,Hwt,50,USA,19:29.9,2018,PM Verification Code
6000,50-59,Klaus Bischof,M,Lwt,52,GER,20:27.4,2020,PM Verification Code
6000,50-59,Anne Bourlioux,F,Hwt,50,CAN,22:42.4,2013,PM Verification Code
6000,50-59,Justine Reston,F,Lwt,50,GBR,23:05.7,2020,PM Verification Code
6000,60-69,Richard Cheeseman,M,Hwt,60,GBR,20:33.8,2019,PM Verification Code
6000,60-69,Frede Noerskov Nielsen,M,Lwt,61,DEN,21:24.6,2015,PM Verification Code
6000,60-69,Ann Wopat,F,Hwt,60,USA,23:54.1,2014,PM Verification Code
6000,60-69,Patricia Moonen,F,Lwt,63,USA,24:37.7,2020,PM Verification Code
6000,70-79,TJ Oesterling,M,Hwt,70,USA,21:46.9,2019,PM Verification Code
6000,70-79,Raimund Haberl,M,Lwt,70,AUT,21:47.7,2020,PM Verification Code
6000,70-79,Luanne Mills,F,Lwt,70,USA,25:38.8,2009,PM Verification Code
6000,70-79,Eileen Ryan,F,Hwt,70,USA,25:43.1,2021,PM Verification Code
6000,80-89,Jan Otto Kristiansen,M,Hwt,80,NOR,24:56.5,2021,PM Verification Code
6000,80-89,W Scott Kemper,M,Lwt,80,USA,25:32.4,2019,PM Verification Code
6000,80-89,Anne Cresswell,F,Lwt,82,AUS,28:58.1,2021,PM Verification Code
6000,80-89,Sally Callahan,F,Hwt,80,USA,29:54.2,2011,PM Verification Code
6000,90-99,Robert Spenger,M,Lwt,90,USA,28:56.5,2015,PM Verification Code
6000,90-99,Robert Spenger,M,Hwt,90,USA,28:58.8,2016,PM Verification Code
