This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 9/8/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
752.92,+19.35,"20,039,825",740.00,760.20,739.26

10 SEP 21  (3)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,-.0002,-.02,.01,950 / 960,4.55,15.45,-.0001,,
,,.0001,-.02,.02,960 / 970,6.50,13.50,-.0001,,
,,.0003,-.01,.02,970 / 980,6.50,13.50,-.0001,,
,,-.0002,-.02,.01,980 / 990,6.50,13.50,-.0001,,
,,.0008,0,.03,990 / 1000,6.50,13.50,-.0001,,
,,-.0002,-.02,.01,1000 / 1025,19.55,30.45,-.0002,,
,,.00,-.02,.02,1025 / 1050,21.50,28.50,-.0002,,
,,.00,-.02,.02,1050 / 1075,21.50,28.50,-.0001,,
,,-.0002,-.03,.02,1075 / 1100,19.55,30.45,-.0001,,
,,.0002,-.02,.03,1100 / 1125,19.55,30.45,-.0001,,
,,.00,-.02,.02,1125 / 1150,19.55,30.45,-.0001,,
,,.00,-.02,.02,1150 / 1175,21.50,28.50,-.0001,,
,,.0002,-.01,.02,1175 / 1200,23.45,26.55,-.0001,,
,,-.0002,-.02,.01,1200 / 1225,23.45,26.55,-.0001,,
,,.0002,-.01,.02,1225 / 1250,23.45,26.55,-.0001,,
,,-.0002,-.02,.01,1250 / 1275,23.45,26.55,-.0001,,
,,.0002,-.01,.02,1275 / 1300,23.45,26.55,-.0001,,
,,-.0001,-.02,.01,1300 / 1325,23.45,26.55,-.0001,,
,,.00,-.02,.02,1325 / 1350,23.45,26.55,.00,,
,,.0002,-.01,.02,1350 / 1375,23.45,26.55,.00,,
,,.00,-.01,.01,1375 / 1400,23.45,26.55,.00,,
,,.00,-.01,.01,1400 / 1425,23.45,26.55,.00,,
,,.00,-.01,.01,1425 / 1450,23.45,26.55,.00,,

17 SEP 21  (10)  100
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,-.65,2.65,1 / 2,-.01,.01,.00,,
,,.00,-.65,2.65,2 / 3,-.01,.01,.00,,
,,.00,-.65,2.65,3 / 4,-.01,.01,.00,,
,,.00,-.65,2.65,4 / 5,-.01,.01,.00,,
,,.00,-.65,2.65,5 / 6,-.01,.01,.00,,
,,.00,-.65,2.65,6 / 7,-.01,.01,.00,,
,,.00,-.65,2.65,7 / 8,-.01,.03,.00,,
,,.00,-.65,2.65,8 / 9,-.03,.03,.00,,
,,.00,-.65,2.65,9 / 10,-.03,.01,.00,,
,,.00,-.65,2.65,10 / 11,-.01,.02,.00,,
,,.00,-.65,2.65,11 / 12,-.02,.01,.00,,
,,.00,-.65,2.65,12 / 13,-.01,.01,.00,,
,,.00,-.65,2.65,13 / 14,-.01,.01,.00,,
,,.00,-.65,2.65,14 / 15,-.01,.01,.00,,
,,.00,-.65,2.65,15 / 16,-.01,.01,.00,,
,,.00,-.65,2.65,16 / 17,-.01,.01,.00,,
,,.00,-.65,2.65,17 / 18,-.01,.01,.00,,
,,.00,-.65,2.65,18 / 19,-.01,.01,.00,,
,,.00,-.65,2.65,19 / 20,-.01,.01,.00,,
,,.00,-.65,2.65,20 / 21,-.01,.01,.00,,
,,.00,-.65,2.65,21 / 22,-.01,.01,.00,,
,,.00,-.65,2.65,22 / 23,-.01,.01,.00,,
,,.00,-.65,2.65,23 / 24,-.01,.03,.00,,
,,.00,-.65,2.65,24 / 25,-.03,.03,.00,,
,,.00,-.65,2.65,25 / 26,-.03,.03,.00,,
,,.00,-.65,2.65,26 / 27,-.03,.03,.00,,
,,.00,-.65,2.65,27 / 28,-.03,.03,.00,,
,,.00,-.65,2.65,28 / 29,-.03,.03,.00,,
,,.00,-.65,2.65,29 / 30,-.03,.03,.00,,
,,.00,-.65,2.65,30 / 31,-.03,.03,.00,,
,,.00,-.65,2.65,31 / 32,-.03,.03,.00,,
,,.00,-.65,2.65,32 / 33,-.03,.03,.00,,
,,.00,-.65,2.65,33 / 34,-.03,.03,.00,,
,,.00,-.65,2.65,34 / 35,-.03,.03,.00,,
,,.00,-.65,2.65,35 / 36,-.03,.03,.00,,
,,.00,-.65,2.65,36 / 37,-.03,.03,.00,,
,,.00,-.65,2.65,37 / 38,-.03,.03,.00,,
,,.00,-.65,2.65,38 / 39,-.03,.01,.00,,
,,.00,-.65,2.65,39 / 40,-.01,.01,.00,,
,,.00,.35,3.65,40 / 42,-.01,.02,.00,,
,,.00,.35,3.65,42 / 44,-.02,.02,.00,,
,,.00,.35,3.65,44 / 46,-.02,.01,.00,,
,,.00,.35,3.65,46 / 48,-.01,.03,-.0001,,
,,.00,.35,3.65,48 / 50,-.03,.01,.0001,,
,,.00,.35,3.65,50 / 52,-.01,.01,.00,,
,,.00,.35,3.65,52 / 54,-.01,.03,-.0001,,
,,.00,.35,3.65,54 / 56,-.03,.03,.00,,
,,.00,.35,3.65,56 / 58,-.03,.03,.00,,
,,.00,.35,3.65,58 / 60,-.03,.01,.0001,,
,,.00,.35,3.65,60 / 62,-.01,.03,-.0001,,
,,.00,.35,3.65,62 / 64,-.03,.04,.00,,
,,.00,.35,3.65,64 / 66,-.04,.03,.00,,
,,.00,.35,3.65,66 / 68,-.03,.04,.00,,
,,.00,.40,3.60,68 / 70,-.04,.01,.0001,,
,,.00,.45,3.55,70 / 72,-.01,.03,-.0001,,
,,.00,.45,3.55,72 / 74,-.03,.03,.00,,
,,.00,.45,3.55,74 / 76,-.03,.03,.00,,
,,.00,.45,3.55,76 / 78,-.03,.04,.00,,
,,.00,.45,3.55,78 / 80,-.04,.01,.0001,,
,,.00,-.55,2.55,80 / 81,-.01,.04,-.0001,,
,,.00,-.55,2.55,81 / 82,-.04,.04,.00,,
,,.00,-.55,2.55,82 / 83,-.04,.04,.00,,
,,.00,-.55,2.55,83 / 84,-.04,.04,.00,,
,,.00,-.55,2.55,84 / 85,-.04,.04,.00,,
,,.00,-.55,2.55,85 / 86,-.04,.04,.00,,
,,.00,-.55,2.55,86 / 87,-.04,.04,.00,,
,,.00,-.55,2.55,87 / 88,-.04,.04,.00,,
,,.00,-.55,2.55,88 / 89,-.04,.04,.00,,
,,.00,-.55,2.55,89 / 90,-.04,.01,.0001,,
,,.00,.40,3.60,90 / 92,-.01,.04,-.0001,,
,,.00,.35,3.65,92 / 94,-.04,.01,.0001,,
,,.00,.35,3.65,94 / 96,-.01,.04,-.0001,,
,,.00,.35,3.65,96 / 98,-.04,.04,.00,,
