This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 5/4/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
684.90,-24.54,"27,043,143",703.80,706.00,680.50

7 MAY 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0060,0,.22,742.5 / 745,-4.70,9.45,-.0064,,
,,.0107,.09,.40,745 / 747.5,-5.20,8.90,-.0251,,
,,.0037,-.10,.21,747.5 / 750,-4.15,10.00,.0136,,
,,.0053,.04,.16,750 / 752.5,-4.90,8.90,-.0196,,
,,.0069,.07,.22,752.5 / 755,-4.15,9.05,-.0033,,
,,.0069,-.02,.25,755 / 760,-2.40,12.10,-.0083,,
,,.0056,-.11,.29,760 / 765,-2.60,11.60,-.0241,,
,,.0067,-.07,.32,765 / 770,-1.95,12.15,.0038,,
,,.0040,-.13,.26,770 / 775,-.50,11.75,.0227,,
,,.0078,.03,.29,775 / 780,-1.05,9.35,-.0355,,
,,.0026,-.01,.09,780 / 785,-.75,12.25,.0290,,
,,.0002,-.14,.11,785 / 790,-1.45,12.00,.0069,,
,,.0024,-.14,.22,790 / 795,-3.40,11.40,-.0364,,
,,.0053,.02,.20,795 / 800,-3.40,13.30,-.0028,,
,,.0003,-.10,.09,800 / 805,-3.35,13.35,-.0004,,
,,.0013,-.14,.18,805 / 810,-3.40,11.20,-.0134,,
,,.0034,-.04,.18,810 / 815,-1.30,13.35,.0092,,
,,.0008,-.08,.10,815 / 820,-.65,10.95,.0063,,
,,.0012,-.10,.13,820 / 830,4.00,15.65,-.0081,,
,,.00,-.16,.14,830 / 840,1.50,18.40,-.0027,,
,,.0029,-.04,.16,840 / 850,1.55,18.45,-.0002,,
,,-.0005,-.08,.04,850 / 860,1.50,18.45,-.0014,,
,,.0013,-.05,.10,860 / 870,1.50,18.50,-.0001,,
,,.0018,-.03,.11,870 / 880,2.00,18.50,.0092,,
,,-.0003,-.06,.04,880 / 890,1.50,17.95,-.0106,,
,,.0013,0,.06,890 / 900,1.55,18.45,.00,,
,,-.0005,-.07,.04,900 / 910,1.55,18.45,-.0001,,
,,.0011,-.05,.10,910 / 920,1.55,18.45,.00,,
,,-.0001,-.08,.07,920 / 930,1.55,18.45,.00,,
,,.0005,-.05,.07,930 / 940,1.50,18.45,-.0013,,
,,.0006,-.02,.05,940 / 950,1.50,18.50,.00,,
,,-.0007,-.04,0,950 / 960,1.50,18.50,.00,,
,,.0010,0,.05,960 / 970,1.55,18.50,.0012,,
,,.0004,-.01,.03,970 / 980,1.55,18.45,.00,,
,,-.0002,-.02,.01,980 / 990,1.55,18.45,.00,,
,,.0002,-.01,.02,990 / 1000,1.55,18.45,.00,,
,,.0002,-.01,.02,1000 / 1025,16.55,33.45,-.0001,,
,,-.0001,-.02,.01,1025 / 1050,16.55,33.50,.0008,,
,,.0001,-.02,.02,1050 / 1075,16.50,33.50,-.0001,,
,,.0002,-.02,.03,1075 / 1100,16.50,33.50,-.0001,,
,,-.0001,-.02,.01,1100 / 1125,16.50,33.50,-.0001,,
,,.0002,-.01,.02,1125 / 1150,16.50,33.50,-.0001,,
,,.00,-.02,.02,1150 / 1175,16.50,33.50,-.0001,,
,,.00,-.02,.02,1175 / 1200,16.50,33.50,.00,,
,,.00,-.02,.02,1200 / 1225,16.50,33.50,.00,,
,,.0002,-.01,.02,1225 / 1250,16.50,33.45,-.0007,,
,,.00,-.01,.01,1250 / 1275,16.55,33.45,.00,,
,,.00,-.01,.01,1275 / 1300,16.55,33.45,.00,,
,,.00,-.01,.01,1300 / 1325,16.55,33.45,.00,,
,,.00,-.01,.01,1325 / 1350,16.55,33.45,.00,,
,,-.0001,-.03,.02,1350 / 1375,16.55,33.45,.00,,
,,.0003,-.02,.04,1375 / 1400,16.55,33.45,.00,,
,,.00,-.02,.02,1400 / 1425,16.55,33.45,.00,,
,,.00,-.02,.02,1425 / 1450,16.55,33.45,.00,,
,,.00,-.02,.02,1450 / 1475,16.55,33.45,.00,,
,,.0001,-.01,.02,1475 / 1500,16.55,33.45,.00,,
,,.00,-.01,.01,1500 / 1525,16.55,33.45,.00,,

14 MAY 21  (11)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0001,41.25,58.75,100 / 150,-.05,.02,.0001,,
,,.0001,41.25,58.75,150 / 200,-.01,.05,-.0003,,
,,.0001,41.25,58.75,200 / 250,-.04,.04,-.0001,,
,,.0001,41.25,58.75,250 / 300,-.03,.04,-.0002,,
,,.0010,41.20,58.70,300 / 350,-.01,.04,-.0004,,
,,.0030,41.10,58.60,350 / 400,.04,.15,-.0021,,
,,.0010,1.20,18.70,400 / 410,-.06,.15,-.0010,,
,,.0007,1.25,18.70,410 / 420,-.09,.15,-.0007,,
,,.0011,1.25,18.65,420 / 430,-.08,.16,-.0009,,
,,.0008,1.25,18.70,430 / 440,-.08,.13,-.0007,,
,,.0021,1.20,18.60,440 / 450,-.04,.17,-.0015,,
,,.0017,1.25,18.60,450 / 460,-.05,.15,-.0013,,
,,.0018,1.25,18.60,460 / 470,-.01,.18,-.0020,,
,,.0024,1.25,18.55,470 / 480,-.03,.18,-.0019,,
,,.0017,1.30,18.60,480 / 490,-.02,.19,-.0022,,
