This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 2/2/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
839.81,+46.28,"25,391,385",814.29,842.00,795.5601

5 FEB 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0037,1.45,3.30,760 / 762.5,-.08,.40,-.0051,,
,,.0047,1.45,3.20,762.5 / 765,-.05,.43,-.0057,,
,,.0052,1.35,3.25,765 / 767.5,-.05,.40,-.0056,,
,,.0058,1.35,3.20,767.5 / 770,0,.45,-.0066,,
,,.0056,1.40,3.20,770 / 772.5,0,.50,-.0071,,
,,.0066,1.30,3.20,772.5 / 775,0,.50,-.0072,,
,,.0080,1.25,3.10,775 / 777.5,0,.50,-.0074,,
,,.0077,1.30,3.10,777.5 / 780,.05,.55,-.0083,,
,,.0076,1.35,3.10,780 / 782.5,.05,.55,-.0084,,
,,.0092,1.25,3.00,782.5 / 785,.10,.60,-.0093,,
,,.0087,1.30,3.05,785 / 787.5,.10,.60,-.0095,,
,,.0096,1.30,2.95,787.5 / 790,.10,.65,-.0100,,
,,.0108,1.20,2.90,790 / 792.5,.15,.75,-.0112,,
,,.0107,1.20,2.95,792.5 / 795,.15,.75,-.0113,,
,,.0234,3.20,4.85,795 / 800,.70,1.25,-.0240,,
,,.0261,3.05,4.65,800 / 805,.90,1.35,-.0263,,
,,.0282,2.90,4.50,805 / 810,1.00,1.60,-.0286,,
,,.0308,2.70,4.20,810 / 815,1.20,1.90,-.0312,,
,,.0320,2.65,4.05,815 / 820,1.25,1.95,-.0320,,
,,.0330,2.60,3.95,820 / 825,1.45,2.25,-.0339,,
,,.0174,.85,2.10,825 / 827.5,.60,1.40,-.0174,,
,,.0175,.85,2.05,827.5 / 830,.65,1.45,-.0176,,
,,.0177,.80,2.00,830 / 832.5,.70,1.55,-.0178,,
,,.0178,.80,1.95,832.5 / 835,.65,1.60,-.0179,,
,,.0180,.70,1.70,835 / 837.5,.75,1.55,-.0180,,
,,.0180,.90,1.80,837.5 / 840,.95,1.75,-.0180,,
,,.0179,.65,1.55,840 / 842.5,.80,1.80,-.0180,,
,,.0178,.70,1.55,842.5 / 845,.85,1.90,-.0179,,
,,.0178,.65,1.60,845 / 847.5,.85,1.95,-.0178,,
,,.0172,.50,1.40,847.5 / 850,.95,2.05,-.0174,,
,,.0176,.65,1.50,850 / 852.5,.95,2.05,-.0174,,
,,.0169,.45,1.40,852.5 / 855,1.00,2.15,-.0170,,
,,.0166,.45,1.30,855 / 857.5,1.00,2.20,-.0168,,
,,.0165,.45,1.30,857.5 / 860,1.05,2.25,-.0164,,
,,.0160,.35,1.25,860 / 862.5,1.10,2.30,-.0160,,
,,.0155,.30,1.20,862.5 / 865,1.10,2.00,-.0173,,
,,.0150,.25,1.15,865 / 867.5,1.40,2.45,-.0140,,
,,.0149,.25,1.15,867.5 / 870,1.15,2.55,-.0145,,
,,.0143,.20,1.10,870 / 872.5,1.10,2.50,-.0149,,
,,.0137,.15,1.05,872.5 / 875,1.15,2.65,-.0138,,
,,.0133,.15,1.00,875 / 877.5,1.15,2.70,-.0134,,
,,.0114,.15,.70,877.5 / 880,1.15,2.75,-.0130,,
,,.0138,.35,.90,880 / 882.5,1.20,2.80,-.0123,,
,,.0122,.10,.90,882.5 / 885,1.20,2.80,-.0122,,
,,.0110,.05,.80,885 / 887.5,1.25,2.90,-.0111,,
,,.0109,.10,.75,887.5 / 890,1.20,2.90,-.0114,,
,,.0109,.10,.75,890 / 892.5,1.30,2.95,-.0102,,
,,.0092,0,.65,892.5 / 895,1.30,2.95,-.0101,,
