This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 6/8/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
605.13,+6.08,"22,543,682",591.825,610.00,582.88

11 JUN 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0034,0,.11,677.5 / 680,1.20,3.60,-.0058,,
,,.0034,-.01,.12,680 / 682.5,1.30,3.70,-.0007,,
,,.0017,-.07,.11,682.5 / 685,1.20,3.70,-.0032,,
,,.0037,-.02,.15,685 / 687.5,1.25,3.70,-.0018,,
,,.0015,-.04,.08,687.5 / 690,1.25,3.70,-.0018,,
,,.0022,-.01,.08,690 / 692.5,1.25,3.70,-.0017,,
,,.0012,-.04,.07,692.5 / 695,1.25,3.65,-.0030,,
,,.0024,-.04,.12,695 / 697.5,1.25,3.70,-.0017,,
,,.0006,-.05,.06,697.5 / 700,1.25,3.70,-.0017,,
,,.0009,-.03,.05,700 / 702.5,1.30,3.70,-.0003,,
,,.0008,-.04,.06,702.5 / 705,1.25,3.70,-.0016,,
,,.0025,.01,.08,705 / 707.5,1.25,3.70,-.0016,,
,,.0003,-.04,.04,707.5 / 710,1.30,3.70,-.0002,,
,,.0013,-.03,.07,710 / 712.5,1.25,3.70,-.0016,,
,,.0010,-.03,.06,712.5 / 715,1.25,3.70,-.0016,,
,,.0005,-.03,.04,715 / 717.5,1.30,3.70,-.0001,,
,,.0007,-.03,.05,717.5 / 720,1.30,3.70,-.0001,,
,,.0009,-.03,.06,720 / 722.5,1.30,3.70,-.0001,,
,,.0004,-.04,.05,722.5 / 725,1.25,3.65,-.0030,,
,,.0018,-.01,.07,725 / 730,3.80,6.20,-.0002,,
,,.0010,-.03,.06,730 / 735,3.80,6.20,-.0002,,
,,.0005,-.03,.04,735 / 740,3.80,6.20,-.0001,,
,,.0005,-.01,.02,740 / 745,3.80,6.15,-.0016,,
,,.0011,0,.04,745 / 750,3.85,6.15,-.0001,,
,,.0007,-.02,.04,750 / 755,3.85,6.15,-.0001,,
,,.0006,-.01,.03,755 / 760,3.80,6.15,-.0015,,
,,.0004,-.01,.02,760 / 765,3.80,6.20,-.0001,,
,,.0006,-.01,.03,765 / 770,3.80,6.20,.00,,
,,.0004,-.01,.02,770 / 780,8.80,11.20,-.0001,,
,,.0009,0,.03,780 / 790,8.80,11.15,-.0017,,
,,.0008,0,.03,790 / 800,8.85,11.15,.00,,
,,-.0003,-.02,0,800 / 810,8.85,11.15,.00,,
,,.0010,0,.04,810 / 820,8.85,11.10,.00,,
,,.0003,-.02,.03,820 / 830,8.90,11.10,.00,,
,,.0005,-.01,.03,830 / 840,8.90,11.10,.00,,
,,.00,-.02,.02,840 / 850,8.90,11.10,.00,,
,,.0001,-.02,.02,850 / 860,8.90,11.10,.00,,
,,.0002,-.01,.02,860 / 870,8.90,11.10,.00,,
,,.00,-.01,.01,870 / 880,8.90,11.10,.00,,
,,.00,-.01,.01,880 / 890,8.90,11.05,.00,,
,,.00,-.01,.01,890 / 900,8.95,11.05,.00,,
,,.0004,0,.02,900 / 910,8.90,11.05,.00,,
,,.00,-.01,.01,910 / 920,8.90,11.10,.00,,
,,.00,-.01,.01,920 / 930,8.90,11.10,.00,,
,,.00,-.01,.01,930 / 940,8.90,11.10,.00,,
,,.00,-.01,.01,940 / 950,8.90,11.10,.00,,
,,.0002,-.01,.02,950 / 960,8.90,11.10,.00,,
,,-.0002,-.02,.01,960 / 970,8.90,11.10,.00,,
,,.0002,-.01,.02,970 / 980,8.90,11.10,.00,,
,,.0002,-.01,.02,980 / 990,8.90,11.10,.00,,
,,-.0002,-.02,.01,990 / 1000,7.70,12.25,.00,,
,,-.0002,-.02,.01,1000 / 1025,22.80,27.30,.00,,
,,.0002,-.01,.02,1025 / 1050,23.95,26.05,.00,,
,,.00,-.02,.02,1050 / 1075,22.70,27.25,.00,,
,,.00,-.02,.02,1075 / 1100,22.75,27.30,.00,,
,,.0002,-.01,.02,1100 / 1125,22.70,27.20,.00,,
,,.00,-.01,.01,1125 / 1150,22.80,27.30,.00,,
,,.00,-.01,.01,1150 / 1175,23.95,26.05,.00,,
,,.00,-.01,.01,1175 / 1200,22.70,27.20,.00,,
,,.00,-.01,.01,1200 / 1225,21.55,28.45,.00,,
,,.00,-.01,.01,1225 / 1250,21.55,28.45,.00,,
,,.00,-.01,.01,1250 / 1275,21.55,28.45,.00,,
,,.00,-.01,.01,1275 / 1300,21.55,28.45,.00,,
,,.00,-.01,.01,1300 / 1325,21.55,28.45,.00,,
,,.00,-.01,.01,1325 / 1350,21.55,28.45,.00,,
,,.00,-.01,.01,1350 / 1375,21.55,28.45,.00,,
,,.00,-.01,.01,1375 / 1400,21.55,28.45,.00,,

18 JUN 21  (11)  100
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,-.35,2.35,1 / 2,-.01,.01,.00,,
,,.00,-.35,2.35,2 / 3,-.01,.01,.00,,
,,.00,-.35,2.35,3 / 4,-.01,.01,.00,,
,,.00,-.10,2.10,4 / 5,-.01,.01,.00,,
,,.00,-.35,2.35,5 / 6,-.01,.01,.00,,
,,.00,-.35,2.35,6 / 7,-.01,.01,.00,,
,,.00,-.10,2.10,7 / 8,-.01,.01,.00,,
,,.00,-.35,2.35,8 / 9,-.01,.01,.00,,
,,.00,-.60,2.60,9 / 10,-.01,.01,.00,,
,,.00,-.35,2.35,10 / 11,-.01,.01,.00,,
,,.00,-.35,2.35,11 / 12,-.01,.01,.00,,
,,.00,-.60,2.60,12 / 13,-.01,.01,.00,,
,,.00,-.35,2.35,13 / 14,-.01,.01,.00,,
,,.00,-.10,2.10,14 / 15,-.01,.01,.00,,
,,.00,-.10,2.10,15 / 16,-.01,.10,-.0002,,
,,.00,-.10,2.15,16 / 17,-.10,.01,.0002,,
,,.00,-.40,2.35,17 / 18,-.01,.10,-.0002,,
,,.00,-.60,2.60,18 / 19,-.10,.10,.00,,
,,.00,-.60,2.60,19 / 20,-.10,.01,.0002,,
,,.00,-.60,2.60,20 / 21,-.01,.05,-.0001,,
,,.00,-.60,2.60,21 / 22,-.05,.10,-.0001,,
,,.00,-.60,2.60,22 / 23,-.10,.05,.0001,,
,,.00,-.35,2.40,23 / 24,-.05,.05,.00,,
,,.00,-.40,2.35,24 / 25,-.05,.01,.0001,,
,,.00,-.35,2.40,25 / 26,-.01,.05,-.0001,,
,,.0002,-.40,2.20,26 / 27,-.05,.01,.0001,,
,,-.0002,-.45,2.60,27 / 28,-.01,.11,-.0002,,
,,.00,-.60,2.60,28 / 29,-.11,.11,.00,,
,,.00,-.60,2.60,29 / 30,-.11,.01,.0002,,
,,.00,-.60,2.60,30 / 31,-.01,.11,-.0002,,
,,.00,-.35,2.40,31 / 32,-.11,.01,.0002,,
,,.00,-.40,2.35,32 / 33,-.01,.01,.00,,
,,.00,-.35,2.40,33 / 34,-.01,.01,.00,,
,,.00,-.40,2.35,34 / 35,-.01,.01,.00,,
,,.00,-.60,2.60,35 / 36,-.01,.01,.00,,
,,.00,-.60,2.60,36 / 37,-.01,.01,.00,,
,,.00,-.35,2.40,37 / 38,-.01,.01,.00,,
,,.00,-.15,2.15,38 / 39,-.01,.01,.00,,
,,.00,-.40,2.40,39 / 40,-.01,.01,.00,,
,,.00,.35,3.65,40 / 42,-.01,.01,.00,,
,,.00,.60,3.40,42 / 44,-.01,.01,.00,,
,,.00,.85,3.15,44 / 46,-.01,.01,.00,,
,,.00,.85,3.15,46 / 48,-.01,.01,.00,,
,,.00,.85,3.15,48 / 50,-.01,.01,.00,,
,,.00,.85,3.15,50 / 52,-.01,.10,-.0003,,
