This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 4/6/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
691.05,+29.30,"41,842,767",707.71,708.16,684.70

9 APR 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0042,-.65,.70,742.5 / 745,.45,3.75,-.0127,,
,,.0154,-.15,1.18,745 / 747.5,.70,3.95,-.0074,,
,,.0063,-.33,.60,747.5 / 750,1.35,3.90,-.0002,,
,,.0149,.16,.60,750 / 755,2.85,5.30,-.0281,,
,,.0138,0,.71,755 / 760,3.05,6.05,-.0166,,
,,.0125,.02,.62,760 / 765,3.25,6.20,-.0115,,
,,.0110,-.01,.56,765 / 770,3.25,6.20,-.0112,,
,,.0087,-.05,.46,770 / 775,3.40,6.35,-.0064,,
,,.0107,.15,.40,775 / 780,3.30,6.25,-.0092,,
,,.0044,-.05,.21,780 / 785,3.40,6.35,-.0059,,
,,.0087,.09,.35,785 / 790,3.30,6.35,-.0073,,
,,.0048,.08,.13,790 / 795,3.35,6.40,-.0056,,
,,.0033,.05,.08,795 / 800,3.40,6.40,-.0046,,
,,.0075,.12,.21,800 / 810,8.35,11.30,-.0080,,
,,.0051,.04,.17,810 / 820,8.45,11.25,-.0069,,
,,.0062,.03,.26,820 / 830,8.60,11.35,-.0018,,
,,.0010,-.11,.12,830 / 840,8.55,11.35,-.0026,,
,,.0028,.02,.10,840 / 850,8.65,11.40,.0003,,
,,.0018,.01,.06,850 / 860,8.55,11.25,-.0042,,
,,.0022,.01,.09,860 / 870,6.80,13.55,.0056,,
,,.0020,-.02,.11,870 / 880,4.60,15.40,-.0005,,
,,-.0004,-.07,.03,880 / 890,4.60,15.35,-.0012,,
,,.0013,0,.06,890 / 900,4.60,15.35,-.0012,,
,,-.0020,-.18,.04,900 / 910,4.60,15.40,-.0004,,
,,.0033,-.02,.21,910 / 920,4.60,15.40,-.0003,,
,,-.0014,-.15,.05,920 / 930,4.60,15.40,-.0003,,
,,.0001,-.18,.17,930 / 940,4.60,15.40,-.0003,,
,,.0030,-.01,.19,940 / 950,4.60,15.40,-.0003,,
,,-.0016,-.14,.03,950 / 960,4.60,15.35,-.0009,,
,,-.0001,-.22,.20,960 / 970,4.60,15.35,-.0009,,
,,.0033,-.05,.26,970 / 980,4.60,15.40,-.0002,,
,,-.0018,-.17,.05,980 / 990,4.60,15.40,-.0002,,
,,.0017,-.05,.16,990 / 1000,4.60,15.40,-.0002,,
,,.0008,-.01,.05,1000 / 1025,19.60,30.40,-.0004,,
,,.0003,-.03,.04,1025 / 1050,19.60,30.40,-.0003,,
,,.0002,-.06,.07,1050 / 1075,19.60,30.40,-.0003,,
,,.0004,-.04,.06,1075 / 1100,19.60,30.40,-.0003,,
,,.0002,-.02,.03,1100 / 1125,19.60,30.40,-.0003,,
,,.00,-.02,.02,1125 / 1150,19.60,30.40,-.0002,,
,,.0002,-.01,.02,1150 / 1175,19.60,30.35,-.0007,,
,,.00,-.02,.02,1175 / 1200,19.65,30.40,.0003,,
,,.0002,-.01,.02,1200 / 1225,19.60,30.40,-.0002,,
,,.00,-.02,.02,1225 / 1250,19.60,30.35,-.0006,,
,,.00,-.02,.02,1250 / 1275,19.65,30.40,.0003,,
